Potential (V)	 Current (A)	 Elapsed Time (s)
0.80958515	 1.0079346e-005	 40.48
0.81190124	 1.012146e-005	 40.595
0.81419978	 1.0123901e-005	 40.71
0.81649832	 1.0149536e-005	 40.825
0.81879687	 1.0143433e-005	 40.94
0.82109541	 1.0146484e-005	 41.055
0.82339395	 1.0167236e-005	 41.17
0.82569249	 1.0151978e-005	 41.285
0.82799103	 1.0165405e-005	 41.4
0.83028957	 1.0209351e-005	 41.515
0.83258811	 1.0254517e-005	 41.63
0.83488666	 1.0281982e-005	 41.745
0.8371852	 1.0307617e-005	 41.86
0.83948374	 1.0333252e-005	 41.975
0.84178228	 1.0348511e-005	 42.09
0.84408082	 1.0368652e-005	 42.205
0.84639691	 1.0386353e-005	 42.32
0.84869545	 1.0380249e-005	 42.435
0.85099399	 1.0404663e-005	 42.55
0.85329253	 1.0444336e-005	 42.665
0.85559107	 1.0482178e-005	 42.78
0.85788961	 1.0491333e-005	 42.895
0.86018816	 1.0502319e-005	 43.01
0.8624867	 1.050293e-005	 43.125
0.86478524	 1.0508423e-005	 43.24
0.86708378	 1.052002e-005	 43.355
0.86938232	 1.0507813e-005	 43.47
0.87168086	 1.0512695e-005	 43.585
0.8739794	 1.053833e-005	 43.7
0.87627795	 1.0582886e-005	 43.815
0.87859403	 1.0645142e-005	 43.93
0.88089257	 1.0662231e-005	 44.045
0.88319112	 1.0684204e-005	 44.16
0.88548966	 1.0698242e-005	 44.275
0.8877882	 1.0706177e-005	 44.39
0.89008674	 1.0753784e-005	 44.505
0.89238528	 1.0748291e-005	 44.62
0.89468382	 1.0774536e-005	 44.735
0.89698236	 1.0836792e-005	 44.85
0.89928091	 1.0893555e-005	 44.965
0.90157945	 1.0935669e-005	 45.08
0.90387799	 1.0950317e-005	 45.195
0.90617653	 1.0980225e-005	 45.31
0.90847507	 1.1000366e-005	 45.425
0.91077361	 1.1031494e-005	 45.54
0.9130897	 1.1075439e-005	 45.655
0.91538824	 1.1083374e-005	 45.77
0.91768678	 1.1116333e-005	 45.885
0.91998532	 1.1172485e-005	 46
0.92228387	 1.1230469e-005	 46.115
0.92458241	 1.1257324e-005	 46.23
0.92688095	 1.1286011e-005	 46.345
0.92917949	 1.1316528e-005	 46.46
0.93147803	 1.1342163e-005	 46.575
0.93377657	 1.1362915e-005	 46.69
